x0,x1,x2,x3,uMs_cmd,uTs_cmd,iMs_cmd,iMs,iTs_cmd,iTs
-0.000530924,0.796496,9.33521,1.32676,-0.127617,5.06831,0,-0.000534268,0.852771,0.796416
-0.000546876,0.792108,9.34591,1.35011,-0.127276,5.01466,0,-0.000540646,0.843997,0.792884
-0.000539556,0.790583,9.35599,1.37349,-0.126988,5.07502,0,-0.000542672,0.843997,0.79052
-0.000543313,0.787404,9.366,1.39689,-0.126854,5.0111,0,-0.000535099,0.835974,0.788354
-0.000543151,0.785292,9.37542,1.42032,-0.126433,5.08121,0,-0.000546008,0.835974,0.785248
-0.000534313,0.783353,9.3848,1.44377,-0.126512,5.00496,0,-0.000524195,0.828621,0.784509
-0.000542511,0.78055,9.39364,1.46724,-0.125942,5.08686,0,-0.000545076,0.828621,0.780527
-0.000520745,0.779913,9.40243,1.49074,-0.126168,4.99584,0,-0.000513507,0.821871,0.781316
-0.000538318,0.776295,9.41075,1.51426,-0.12551,5.09199,0,-0.000540555,0.821871,0.776296
-0.000507696,0.777057,9.419,1.53779,-0.125707,5.10335,0,-0.000511012,0.821871,0.776955
-0.000531154,0.772473,9.42687,1.56135,-0.125129,5.09657,0,-0.000533018,0.815661,0.772501
-0.000502507,0.773111,9.43461,1.58493,-0.125296,5.10899,0,-0.000505688,0.815661,0.773017
-0.000521506,0.769037,9.44207,1.60852,-0.124796,5.10058,0,-0.000522944,0.809937,0.769097
-0.000495002,0.769541,9.44936,1.63214,-0.12493,5.11436,0,-0.000498042,0.809937,0.769453
-0.000509779,0.765948,9.45644,1.65577,-0.124504,5.10397,0,-0.000510728,0.804653,0.766046
-0.000485611,0.766302,9.46332,1.67942,-0.124603,5.11946,0,-0.000488508,0.804653,0.766221
-0.000496305,0.763174,9.47006,1.70309,-0.124252,5.1067,0,-0.000496691,0.799767,0.763314
-0.000474704,0.763359,9.47657,1.72677,-0.124312,5.12431,0,-0.000477452,0.799767,0.763286
-0.000481352,0.760686,9.48299,1.75047,-0.124036,5.10868,0,-0.000481084,0.79524,0.760878
-0.000462595,0.760679,9.48916,1.77418,-0.124052,5.12892,0,-0.000465188,0.79524,0.760614
-0.000465126,0.758463,9.49528,1.79791,-0.123854,5.10983,0,-0.000464092,0.791042,0.758716
-0.000449547,0.758235,9.50114,1.82166,-0.12382,5.1333,0,-0.000451979,0.791042,0.758178
-0.000447776,0.756486,9.50698,1.84542,-0.123705,5.11001,0,-0.000445843,0.787141,0.756812
-0.000435783,0.756002,9.51256,1.86919,-0.123613,5.13744,0,-0.000438046,0.787141,0.755955
-0.000429399,0.754744,9.51814,1.89298,-0.123587,5.10907,0,-0.000426421,0.783513,0.755156
-0.00042149,0.75396,9.52347,1.91678,-0.123429,5.14134,0,-0.000423574,0.783513,0.753923
-0.000410054,0.753227,9.52881,1.9406,-0.123499,5.10682,0,-0.000406051,0.780135,0.753743
-0.000406823,0.75209,9.53391,1.96443,-0.123265,5.14501,0,-0.000408714,0.780135,0.752065
-0.000389933,0.751932,9.53901,1.98827,-0.123402,5.10302,0,-0.000387151,0.776984,0.752573
-0.000391906,0.750377,9.54391,2.01212,-0.12312,5.14843,0,-0.00039359,0.776984,0.750364
-0.000371282,0.75086,9.54879,2.03599,-0.123243,5.15428,0,-0.000373455,0.776984,0.7508
-0.000376841,0.748806,9.5535,2.05987,-0.122993,5.15159,0,-0.000378297,0.774043,0.748808
-0.000357585,0.74922,9.55817,2.08376,-0.1231,5.158,0,-0.000359654,0.774043,0.749164
-0.000361709,0.747366,9.56272,2.10766,-0.122882,5.15446,0,-0.000362912,0.771296,0.747385
-0.000343877,0.747706,9.56719,2.13157,-0.122972,5.16159,0,-0.000345842,0.771296,0.747654
-0.000346566,0.746048,9.57158,2.15549,-0.122785,5.15703,0,-0.000347485,0.768726,0.746087
-0.000330235,0.746306,9.57587,2.17943,-0.122857,5.16506,0,-0.000332097,0.768726,0.746258
-0.000331453,0.744843,9.58011,2.20337,-0.122703,5.15925,0,-0.00033205,0.76632,0.744905
-0.000316723,0.745009,9.58424,2.22733,-0.122754,5.16841,0,-0.000318482,0.76632,0.744966
-0.000316392,0.743745,9.58834,2.25129,-0.122635,5.16109,0,-0.000316619,0.764066,0.743834
-0.000303392,0.743806,9.59232,2.27527,-0.122662,5.17164,0,-0.000305047,0.764066,0.743768
-0.000301388,0.742749,9.59628,2.29926,-0.12258,5.16247,0,-0.000301186,0.761952,0.742871
-0.000290282,0.74269,9.60012,2.32325,-0.122581,5.17475,0,-0.000291832,0.761952,0.742657
-0.000286429,0.741852,9.60395,2.34726,-0.122539,5.16334,0,-0.000285726,0.759969,0.742012
-0.000277425,0.741654,9.60766,2.37127,-0.122509,5.17774,0,-0.000278867,0.759969,0.741625
-0.000271484,0.741052,9.61137,2.3953,-0.122511,5.16361,0,-0.0002702,0.758107,0.741259
-0.000264843,0.740691,9.61496,2.41933,-0.122445,5.18061,0,-0.000266173,0.758107,0.740668
-0.000256514,0.740349,9.61856,2.44337,-0.122497,5.16315,0,-0.000254652,0.756358,0.740612
-0.000252553,0.739796,9.62204,2.46742,-0.12239,5.18336,0,-0.000253766,0.756358,0.739779
-0.000241553,0.739745,9.62552,2.49148,-0.122476,5.16184,0,-0.000240295,0.754713,0.740077
-0.000240565,0.738964,9.6289,2.51555,-0.122342,5.18597,0,-0.000241651,0.754713,0.738954
-0.000227741,0.739245,9.63227,2.53962,-0.12242,5.18945,0,-0.000229078,0.754713,0.739211
-0.00022888,0.738191,9.63556,2.56371,-0.122301,5.18844,0,-0.000229831,0.753166,0.738189
-0.00021691,0.738434,9.63883,2.5878,-0.122371,5.19223,0,-0.00021818,0.753166,0.738402
-0.000217497,0.737473,9.64203,2.6119,-0.122266,5.19076,0,-0.000218299,0.751709,0.737481
-0.000206406,0.737674,9.6452,2.63601,-0.122327,5.19494,0,-0.000207609,0.751709,0.737645
-0.000206409,0.736808,9.64833,2.66013,-0.122239,5.19291,0,-0.000207045,0.750338,0.736827
-0.00019623,0.736963,9.6514,2.68425,-0.122289,5.19759,0,-0.000197369,0.750338,0.736936
-0.000195601,0.736193,9.65445,2.70839,-0.122217,5.19487,0,-0.000196051,0.749046,0.736225
-0.000186385,0.736297,9.65744,2.73253,-0.122256,5.20017,0,-0.00018746,0.749046,0.736272
-0.000185056,0.735627,9.66042,2.75667,-0.122202,5.19661,0,-0.000185293,0.747829,0.735674
-0.000176869,0.735673,9.66333,2.78083,-0.122228,5.20269,0,-0.00017788,0.747829,0.735651
-0.000174749,0.735109,9.66623,2.80499,-0.122194,5.19809,0,-0.000174739,0.746681,0.735174
-0.00016768,0.735087,9.66907,2.82916,-0.122205,5.20514,0,-0.000168626,0.746681,0.735068
-0.000164648,0.734638,9.67191,2.85334,-0.122192,5.19929,0,-0.000164351,0.745598,0.734724
-0.000158812,0.734538,9.67467,2.87752,-0.122186,5.20753,0,-0.000159692,0.745598,0.734521
-0.000154715,0.734214,9.67744,2.90171,-0.122197,5.20014,0,-0.000154085,0.744576,0.734327
-0.000150257,0.734023,9.68015,2.92591,-0.12217,5.20984,0,-0.000151069,0.744576,0.734009
-0.000144907,0.733839,9.68285,2.95011,-0.122208,5.20058,0,-0.000143946,0.743611,0.733984
-0.000142007,0.733539,9.6855,2.97432,-0.122158,5.21208,0,-0.000142749,0.743611,0.73353
-0.000135229,0.733515,9.68814,2.99854,-0.122216,5.20052,0,-0.00013459,0.7427,0.733699
-0.000134053,0.733086,9.69073,3.02276,-0.12215,5.21425,0,-0.00013472,0.7427,0.733081
-0.000126299,0.733246,9.69331,3.04699,-0.122203,5.21654,0,-0.000127104,0.7427,0.733227
-0.000126381,0.732662,9.69585,3.07123,-0.122145,5.21634,0,-0.000126968,0.74184,0.732661
-0.000119143,0.7328,9.69837,3.09547,-0.122193,5.2188,0,-0.000119907,0.74184,0.732782
-0.00011898,0.732265,9.70086,3.11972,-0.122144,5.21833,0,-0.000119479,0.741026,0.732269
-0.000112268,0.732379,9.70333,-3.13921,-0.122187,5.22102,0,-0.000112992,0.741026,0.732362
-0.000111833,0.731894,9.70578,-3.11495,-0.122145,5.22023,0,-0.000112236,0.740257,0.731905
-0.000105667,0.731982,9.7082,-3.09068,-0.122183,5.22321,0,-0.000106351,0.740257,0.731967
-0.000104925,0.731549,9.7106,-3.06641,-0.12215,5.22202,0,-0.000105218,0.73953,0.731567
-9.93308e-005,0.731608,9.71296,-3.04213,-0.122181,5.22535,0,-9.99763e-005,0.73953,0.731594
-9.82347e-005,0.731229,9.71532,-3.01784,-0.122159,5.22367,0,-9.8403e-005,0.738842,0.731255
-9.32513e-005,0.731254,9.71765,-2.99355,-0.122182,5.22745,0,-9.38581e-005,0.738842,0.731242
-9.17418e-005,0.730934,9.71996,-2.96926,-0.12217,5.22518,0,-9.1766e-005,0.738191,0.730971
-8.74194e-005,0.730921,9.72224,-2.94495,-0.122184,5.22952,0,-8.79876e-005,0.738191,0.73091
-8.54211e-005,0.730664,9.72452,-2.92064,-0.122185,5.22652,0,-8.52773e-005,0.737575,0.730713
-8.18262e-005,0.730605,9.72676,-2.89633,-0.122189,5.23154,0,-8.23551e-005,0.737575,0.730596
-7.92442e-005,0.730419,9.729,-2.87201,-0.122204,5.22765,0,-7.89054e-005,0.736991,0.730484
-7.64619e-005,0.730308,9.7312,-2.84769,-0.122196,5.23352,0,-7.69505e-005,0.736991,0.730301
-7.31808e-005,0.730201,9.7334,-2.82335,-0.122226,5.22854,0,-7.26462e-005,0.736438,0.730284
-7.13168e-005,0.730027,9.73556,-2.79902,-0.122205,5.23546,0,-7.17634e-005,0.736438,0.730022
-6.72266e-005,0.730011,9.73773,-2.77468,-0.122246,5.22914,0,-6.68745e-005,0.735914,0.730117
-6.63806e-005,0.729762,9.73986,-2.75033,-0.122216,5.23735,0,-6.67829e-005,0.735914,0.729759
-6.17367e-005,0.729852,9.74199,-2.72598,-0.122254,5.23899,0,-6.2218e-005,0.735914,0.729841
-6.16428e-005,0.729513,9.74409,-2.70162,-0.122228,5.2392,0,-6.19974e-005,0.735417,0.729512
-5.73065e-005,0.72959,9.74618,-2.67726,-0.122264,5.24094,0,-5.77632e-005,0.735417,0.72958
-5.7092e-005,0.729278,9.74825,-2.65289,-0.122242,5.24098,0,-5.73946e-005,0.734946,0.72928
-5.30698e-005,0.729341,9.75031,-2.62852,-0.122275,5.24286,0,-5.35024e-005,0.734946,0.729332
-5.27164e-005,0.729057,9.75235,-2.60414,-0.122258,5.24271,0,-5.29612e-005,0.734499,0.729063
-4.9019e-005,0.729105,9.75438,-2.57975,-0.122287,5.24475,0,-4.94282e-005,0.734499,0.729097
-4.85032e-005,0.72885,9.7564,-2.55537,-0.122275,5.24437,0,-4.86829e-005,0.734075,0.72886
-4.51469e-005,0.728881,9.7584,-2.53097,-0.1223,5.24662,0,-4.55329e-005,0.734075,0.728873
-4.44386e-005,0.728657,9.76039,-2.50657,-0.122295,5.24595,0,-4.45438e-005,0.733673,0.728672
-4.14462e-005,0.728669,9.76235,-2.48217,-0.122315,5.24847,0,-4.18092e-005,0.733673,0.728662
-4.05072e-005,0.728477,9.76432,-2.45776,-0.122316,5.24744,0,-4.05262e-005,0.73329,0.728499
-3.79095e-005,0.728467,9.76626,-2.43335,-0.122331,5.25029,0,-3.82494e-005,0.73329,0.72846
-3.6692e-005,0.728312,9.7682,-2.40893,-0.122339,5.24882,0,-3.66103e-005,0.732927,0.728341
-3.45297e-005,0.728275,9.77012,-2.38451,-0.122348,5.25208,0,-3.48462e-005,0.732927,0.728269
-3.29741e-005,0.728161,9.77203,-2.36008,-0.122364,5.25008,0,-3.27749e-005,0.732582,0.7282
-3.12995e-005,0.728092,9.77393,-2.33565,-0.122366,5.25385,0,-3.1592e-005,0.732582,0.728088
-2.93331e-005,0.728026,9.77582,-2.31121,-0.122391,5.25118,0,-2.90152e-005,0.732253,0.728075
-2.82117e-005,0.727919,9.77769,-2.28677,-0.122385,5.25559,0,-2.8479e-005,0.732253,0.727916
-2.57643e-005,0.727907,9.77955,-2.26232,-0.122416,5.25211,0,-2.55533e-005,0.731941,0.72797
-2.52587e-005,0.727755,9.7814,-2.23787,-0.122405,5.25729,0,-2.54995e-005,0.731941,0.727753
-2.24789e-005,0.727805,9.78325,-2.21341,-0.122435,5.25856,0,-2.2767e-005,0.731941,0.727799
-2.24331e-005,0.727599,9.78508,-2.18895,-0.122426,5.25897,0,-2.26452e-005,0.731644,0.727599
-1.98369e-005,0.727642,9.7869,-2.16449,-0.122454,5.2603,0,-2.01104e-005,0.731644,0.727636
-1.9727e-005,0.727451,9.78871,-2.14002,-0.122448,5.26061,0,-1.99077e-005,0.731361,0.727453
-1.73186e-005,0.727486,9.79051,-2.11555,-0.122474,5.26202,0,-1.75778e-005,0.731361,0.727481
-1.71323e-005,0.727312,9.7923,-2.09107,-0.12247,5.26221,0,-1.72779e-005,0.731091,0.727316
-1.49187e-005,0.727338,9.79408,-2.06658,-0.122494,5.26372,0,-1.5164e-005,0.731091,0.727333
-1.46403e-005,0.72718,9.79585,-2.0421,-0.122494,5.26377,0,-1.47461e-005,0.730834,0.727186
-1.26321e-005,0.727196,9.79761,-2.01761,-0.122515,5.26541,0,-1.28636e-005,0.730834,0.727191
-1.22416e-005,0.727056,9.79937,-1.99311,-0.122518,5.26527,0,-1.23017e-005,0.730589,0.727066
-1.04537e-005,0.72706,9.80111,-1.96861,-0.122537,5.26708,0,-1.06715e-005,0.730589,0.727056
